epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1392.05,2.21072,4.2217,2.1666,0.37481,0.13658,0.08306,0.02569,2.29835,4.51579,2.16574,0.00999615,0.00333205,0.00999615,0.00333205,0.00999615,0.00333205,0.00999615,0.00333205
2,2523.88,2.1778,3.46059,2.13191,0.14574,0.16959,0.09017,0.02702,2.41428,3.40047,2.34373,0.0196002,0.00653341,0.0196002,0.00653341,0.0196002,0.00653341,0.0196002,0.00653341
3,3602.47,2.21122,3.37571,2.20551,0.33991,0.14051,0.08159,0.0253,2.43146,3.23938,2.36765,0.0288083,0.00960277,0.0288083,0.00960277,0.0288083,0.00960277,0.0288083,0.00960277
4,4658.85,2.21837,3.30822,2.23404,0.1686,0.20038,0.10611,0.0344,2.33299,3.06389,2.28724,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,5711.49,2.13344,3.15473,2.16263,0.18556,0.21236,0.13564,0.03989,2.32511,3.11648,2.28969,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,6765.23,2.09131,3.05712,2.13101,0.39964,0.23736,0.1705,0.05508,2.25225,2.83577,2.23024,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,7819.86,2.06541,2.99576,2.09424,0.35284,0.24939,0.19443,0.06303,2.23218,2.64219,2.19793,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,8876.54,2.03847,2.94812,2.08674,0.46527,0.23092,0.21133,0.0727,2.14125,2.64094,2.10125,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,9932.72,2.01495,2.87905,2.05037,0.44568,0.27558,0.21351,0.06969,2.19151,2.62369,2.17029,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,10985.4,1.99773,2.83723,2.02249,0.36532,0.28756,0.2329,0.07827,2.14946,2.5629,2.12463,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,12041,1.98475,2.80345,2.01974,0.50904,0.28443,0.25637,0.0929,2.10357,2.50331,2.0747,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,13095.6,1.96331,2.77576,1.99935,0.49401,0.29885,0.26011,0.09719,2.05611,2.45078,2.0193,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
