epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2373.59,2.23764,4.04362,2.22508,0.17303,0.1868,0.10612,0.03378,2.32345,2.9952,2.22116,0.00999807,0.00333269,0.00999807,0.00333269,0.00999807,0.00333269,0.00999807,0.00333269
2,4407.25,2.16939,3.27836,2.14707,0.18034,0.22029,0.10346,0.03016,2.34702,3.01541,2.3379,0.0198001,0.00660003,0.0198001,0.00660003,0.0198001,0.00660003,0.0198001,0.00660003
3,6399.94,2.22021,3.42512,2.25056,0.12177,0.1619,0.08283,0.02386,2.37821,3.12375,2.45906,0.0294041,0.00980137,0.0294041,0.00980137,0.0294041,0.00980137,0.0294041,0.00980137
4,8589.24,2.22691,3.39592,2.25395,0.19117,0.22984,0.12095,0.03469,2.34862,2.97845,2.35291,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,18305.9,2.14483,3.24265,2.21902,0.2449,0.1928,0.11229,0.03258,2.35376,2.93919,2.36461,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,20441.5,2.08864,3.12643,2.15973,0.19975,0.23932,0.16184,0.05052,2.30798,2.82814,2.30131,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,22467.2,2.0599,3.06894,2.12933,0.43991,0.23487,0.18259,0.05704,2.24702,2.66319,2.2257,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,24410.4,2.02787,2.97421,2.09602,0.39535,0.26512,0.19338,0.06403,2.21412,2.59172,2.22223,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,26350.8,2.01322,2.92282,2.08432,0.24506,0.28654,0.21541,0.07104,2.19026,2.5931,2.16618,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,28288.4,1.99111,2.87627,2.05733,0.45829,0.27246,0.21617,0.07248,2.18316,2.50812,2.16837,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,30228.9,1.98611,2.84879,2.04926,0.49391,0.27857,0.2561,0.08837,2.09895,2.44586,2.12221,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,32167.7,1.96588,2.81691,2.0329,0.28316,0.32269,0.24017,0.08348,2.11126,2.38502,2.09958,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,34107.1,1.94068,2.77738,2.01305,0.28989,0.33635,0.27302,0.09675,2.09823,2.37638,2.08834,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,36249.9,1.9385,2.74526,2.00427,0.35748,0.33856,0.28692,0.1039,2.06156,2.32184,2.04246,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,38253.4,1.92671,2.70924,1.99158,0.52686,0.31941,0.29234,0.10508,2.07338,2.29025,2.03382,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,40197.2,1.91655,2.67178,1.9761,0.36485,0.33123,0.30273,0.11706,2.01138,2.25617,2.00155,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
